image,label
D:\dataset_chain\water\input0/train/42.tif,D:\dataset_chain\water\input0/train_label/42.tif
D:\dataset_chain\water\input0/train/43.tif,D:\dataset_chain\water\input0/train_label/43.tif
D:\dataset_chain\water\input0/train/44.tif,D:\dataset_chain\water\input0/train_label/44.tif
D:\dataset_chain\water\input0/train/45.tif,D:\dataset_chain\water\input0/train_label/45.tif
D:\dataset_chain\water\input0/train/46.tif,D:\dataset_chain\water\input0/train_label/46.tif
D:\dataset_chain\water\input0/train/47.tif,D:\dataset_chain\water\input0/train_label/47.tif
D:\dataset_chain\water\input0/train/48.tif,D:\dataset_chain\water\input0/train_label/48.tif
D:\dataset_chain\water\input0/train/49.tif,D:\dataset_chain\water\input0/train_label/49.tif
D:\dataset_chain\water\input0/train/50.tif,D:\dataset_chain\water\input0/train_label/50.tif
D:\dataset_chain\water\input0/train/51.tif,D:\dataset_chain\water\input0/train_label/51.tif
D:\dataset_chain\water\input0/train/52.tif,D:\dataset_chain\water\input0/train_label/52.tif
D:\dataset_chain\water\input0/train/53.tif,D:\dataset_chain\water\input0/train_label/53.tif
D:\dataset_chain\water\input0/train/54.tif,D:\dataset_chain\water\input0/train_label/54.tif
D:\dataset_chain\water\input0/train/55.tif,D:\dataset_chain\water\input0/train_label/55.tif
D:\dataset_chain\water\input0/train/56.tif,D:\dataset_chain\water\input0/train_label/56.tif
D:\dataset_chain\water\input0/train/57.tif,D:\dataset_chain\water\input0/train_label/57.tif
D:\dataset_chain\water\input0/train/58.tif,D:\dataset_chain\water\input0/train_label/58.tif
D:\dataset_chain\water\input0/train/59.tif,D:\dataset_chain\water\input0/train_label/59.tif
D:\dataset_chain\water\input0/train/60.tif,D:\dataset_chain\water\input0/train_label/60.tif
D:\dataset_chain\water\input0/train/61.tif,D:\dataset_chain\water\input0/train_label/61.tif
D:\dataset_chain\water\input0/train/62.tif,D:\dataset_chain\water\input0/train_label/62.tif
D:\dataset_chain\water\input0/train/63.tif,D:\dataset_chain\water\input0/train_label/63.tif
D:\dataset_chain\water\input0/train/64.tif,D:\dataset_chain\water\input0/train_label/64.tif
D:\dataset_chain\water\input0/train/65.tif,D:\dataset_chain\water\input0/train_label/65.tif
D:\dataset_chain\water\input0/train/66.tif,D:\dataset_chain\water\input0/train_label/66.tif
D:\dataset_chain\water\input0/train/67.tif,D:\dataset_chain\water\input0/train_label/67.tif
D:\dataset_chain\water\input0/train/68.tif,D:\dataset_chain\water\input0/train_label/68.tif
D:\dataset_chain\water\input0/train/69.tif,D:\dataset_chain\water\input0/train_label/69.tif
D:\dataset_chain\water\input0/train/70.tif,D:\dataset_chain\water\input0/train_label/70.tif
D:\dataset_chain\water\input0/train/71.tif,D:\dataset_chain\water\input0/train_label/71.tif
D:\dataset_chain\water\input0/train/72.tif,D:\dataset_chain\water\input0/train_label/72.tif
D:\dataset_chain\water\input0/train/73.tif,D:\dataset_chain\water\input0/train_label/73.tif
D:\dataset_chain\water\input0/train/74.tif,D:\dataset_chain\water\input0/train_label/74.tif
D:\dataset_chain\water\input0/train/75.tif,D:\dataset_chain\water\input0/train_label/75.tif
D:\dataset_chain\water\input0/train/76.tif,D:\dataset_chain\water\input0/train_label/76.tif
D:\dataset_chain\water\input0/train/77.tif,D:\dataset_chain\water\input0/train_label/77.tif
D:\dataset_chain\water\input0/train/78.tif,D:\dataset_chain\water\input0/train_label/78.tif
D:\dataset_chain\water\input0/train/79.tif,D:\dataset_chain\water\input0/train_label/79.tif
D:\dataset_chain\water\input0/train/80.tif,D:\dataset_chain\water\input0/train_label/80.tif
D:\dataset_chain\water\input0/train/81.tif,D:\dataset_chain\water\input0/train_label/81.tif
D:\dataset_chain\water\input0/train/82.tif,D:\dataset_chain\water\input0/train_label/82.tif
D:\dataset_chain\water\input0/train/83.tif,D:\dataset_chain\water\input0/train_label/83.tif
D:\dataset_chain\water\input0/train/84.tif,D:\dataset_chain\water\input0/train_label/84.tif
D:\dataset_chain\water\input0/train/85.tif,D:\dataset_chain\water\input0/train_label/85.tif
D:\dataset_chain\water\input0/train/86.tif,D:\dataset_chain\water\input0/train_label/86.tif
D:\dataset_chain\water\input0/train/87.tif,D:\dataset_chain\water\input0/train_label/87.tif
D:\dataset_chain\water\input0/train/88.tif,D:\dataset_chain\water\input0/train_label/88.tif
D:\dataset_chain\water\input0/train/89.tif,D:\dataset_chain\water\input0/train_label/89.tif
D:\dataset_chain\water\input0/train/90.tif,D:\dataset_chain\water\input0/train_label/90.tif
D:\dataset_chain\water\input0/train/91.tif,D:\dataset_chain\water\input0/train_label/91.tif
D:\dataset_chain\water\input0/train/92.tif,D:\dataset_chain\water\input0/train_label/92.tif
D:\dataset_chain\water\input0/train/93.tif,D:\dataset_chain\water\input0/train_label/93.tif
D:\dataset_chain\water\input0/train/94.tif,D:\dataset_chain\water\input0/train_label/94.tif
D:\dataset_chain\water\input0/train/95.tif,D:\dataset_chain\water\input0/train_label/95.tif
D:\dataset_chain\water\input0/train/96.tif,D:\dataset_chain\water\input0/train_label/96.tif
D:\dataset_chain\water\input0/train/97.tif,D:\dataset_chain\water\input0/train_label/97.tif
D:\dataset_chain\water\input0/train/98.tif,D:\dataset_chain\water\input0/train_label/98.tif
D:\dataset_chain\water\input0/train/99.tif,D:\dataset_chain\water\input0/train_label/99.tif
D:\dataset_chain\water\input0/train/100.tif,D:\dataset_chain\water\input0/train_label/100.tif
D:\dataset_chain\water\input0/train/101.tif,D:\dataset_chain\water\input0/train_label/101.tif
D:\dataset_chain\water\input0/train/102.tif,D:\dataset_chain\water\input0/train_label/102.tif
D:\dataset_chain\water\input0/train/103.tif,D:\dataset_chain\water\input0/train_label/103.tif
D:\dataset_chain\water\input0/train/104.tif,D:\dataset_chain\water\input0/train_label/104.tif
D:\dataset_chain\water\input0/train/105.tif,D:\dataset_chain\water\input0/train_label/105.tif
D:\dataset_chain\water\input0/train/106.tif,D:\dataset_chain\water\input0/train_label/106.tif
D:\dataset_chain\water\input0/train/107.tif,D:\dataset_chain\water\input0/train_label/107.tif
D:\dataset_chain\water\input0/train/108.tif,D:\dataset_chain\water\input0/train_label/108.tif
D:\dataset_chain\water\input0/train/109.tif,D:\dataset_chain\water\input0/train_label/109.tif
D:\dataset_chain\water\input0/train/110.tif,D:\dataset_chain\water\input0/train_label/110.tif
D:\dataset_chain\water\input0/train/111.tif,D:\dataset_chain\water\input0/train_label/111.tif
D:\dataset_chain\water\input0/train/112.tif,D:\dataset_chain\water\input0/train_label/112.tif
D:\dataset_chain\water\input0/train/113.tif,D:\dataset_chain\water\input0/train_label/113.tif
D:\dataset_chain\water\input0/train/114.tif,D:\dataset_chain\water\input0/train_label/114.tif
D:\dataset_chain\water\input0/train/115.tif,D:\dataset_chain\water\input0/train_label/115.tif
D:\dataset_chain\water\input0/train/116.tif,D:\dataset_chain\water\input0/train_label/116.tif
D:\dataset_chain\water\input0/train/117.tif,D:\dataset_chain\water\input0/train_label/117.tif
D:\dataset_chain\water\input0/train/118.tif,D:\dataset_chain\water\input0/train_label/118.tif
D:\dataset_chain\water\input0/train/119.tif,D:\dataset_chain\water\input0/train_label/119.tif
D:\dataset_chain\water\input0/train/120.tif,D:\dataset_chain\water\input0/train_label/120.tif
D:\dataset_chain\water\input0/train/121.tif,D:\dataset_chain\water\input0/train_label/121.tif
D:\dataset_chain\water\input0/train/122.tif,D:\dataset_chain\water\input0/train_label/122.tif
D:\dataset_chain\water\input0/train/123.tif,D:\dataset_chain\water\input0/train_label/123.tif
D:\dataset_chain\water\input0/train/124.tif,D:\dataset_chain\water\input0/train_label/124.tif
D:\dataset_chain\water\input0/train/125.tif,D:\dataset_chain\water\input0/train_label/125.tif
D:\dataset_chain\water\input0/train/126.tif,D:\dataset_chain\water\input0/train_label/126.tif
D:\dataset_chain\water\input0/train/127.tif,D:\dataset_chain\water\input0/train_label/127.tif
D:\dataset_chain\water\input0/train/128.tif,D:\dataset_chain\water\input0/train_label/128.tif
D:\dataset_chain\water\input0/train/129.tif,D:\dataset_chain\water\input0/train_label/129.tif
D:\dataset_chain\water\input0/train/130.tif,D:\dataset_chain\water\input0/train_label/130.tif
D:\dataset_chain\water\input0/train/131.tif,D:\dataset_chain\water\input0/train_label/131.tif
D:\dataset_chain\water\input0/train/132.tif,D:\dataset_chain\water\input0/train_label/132.tif
D:\dataset_chain\water\input0/train/133.tif,D:\dataset_chain\water\input0/train_label/133.tif
D:\dataset_chain\water\input0/train/134.tif,D:\dataset_chain\water\input0/train_label/134.tif
D:\dataset_chain\water\input0/train/135.tif,D:\dataset_chain\water\input0/train_label/135.tif
D:\dataset_chain\water\input0/train/136.tif,D:\dataset_chain\water\input0/train_label/136.tif
D:\dataset_chain\water\input0/train/137.tif,D:\dataset_chain\water\input0/train_label/137.tif
D:\dataset_chain\water\input0/train/138.tif,D:\dataset_chain\water\input0/train_label/138.tif
D:\dataset_chain\water\input0/train/139.tif,D:\dataset_chain\water\input0/train_label/139.tif
D:\dataset_chain\water\input0/train/140.tif,D:\dataset_chain\water\input0/train_label/140.tif
D:\dataset_chain\water\input0/train/141.tif,D:\dataset_chain\water\input0/train_label/141.tif
D:\dataset_chain\water\input0/train/142.tif,D:\dataset_chain\water\input0/train_label/142.tif
D:\dataset_chain\water\input0/train/143.tif,D:\dataset_chain\water\input0/train_label/143.tif
D:\dataset_chain\water\input0/train/144.tif,D:\dataset_chain\water\input0/train_label/144.tif
D:\dataset_chain\water\input0/train/145.tif,D:\dataset_chain\water\input0/train_label/145.tif
D:\dataset_chain\water\input0/train/146.tif,D:\dataset_chain\water\input0/train_label/146.tif
D:\dataset_chain\water\input0/train/147.tif,D:\dataset_chain\water\input0/train_label/147.tif
D:\dataset_chain\water\input0/train/148.tif,D:\dataset_chain\water\input0/train_label/148.tif
D:\dataset_chain\water\input0/train/149.tif,D:\dataset_chain\water\input0/train_label/149.tif
D:\dataset_chain\water\input0/train/150.tif,D:\dataset_chain\water\input0/train_label/150.tif
D:\dataset_chain\water\input0/train/151.tif,D:\dataset_chain\water\input0/train_label/151.tif
D:\dataset_chain\water\input0/train/152.tif,D:\dataset_chain\water\input0/train_label/152.tif
D:\dataset_chain\water\input0/train/153.tif,D:\dataset_chain\water\input0/train_label/153.tif
D:\dataset_chain\water\input0/train/154.tif,D:\dataset_chain\water\input0/train_label/154.tif
D:\dataset_chain\water\input0/train/155.tif,D:\dataset_chain\water\input0/train_label/155.tif
D:\dataset_chain\water\input0/train/156.tif,D:\dataset_chain\water\input0/train_label/156.tif
D:\dataset_chain\water\input0/train/157.tif,D:\dataset_chain\water\input0/train_label/157.tif
D:\dataset_chain\water\input0/train/158.tif,D:\dataset_chain\water\input0/train_label/158.tif
D:\dataset_chain\water\input0/train/159.tif,D:\dataset_chain\water\input0/train_label/159.tif
D:\dataset_chain\water\input0/train/160.tif,D:\dataset_chain\water\input0/train_label/160.tif
D:\dataset_chain\water\input0/train/161.tif,D:\dataset_chain\water\input0/train_label/161.tif
D:\dataset_chain\water\input0/train/162.tif,D:\dataset_chain\water\input0/train_label/162.tif
D:\dataset_chain\water\input0/train/163.tif,D:\dataset_chain\water\input0/train_label/163.tif
D:\dataset_chain\water\input0/train/164.tif,D:\dataset_chain\water\input0/train_label/164.tif
D:\dataset_chain\water\input0/train/165.tif,D:\dataset_chain\water\input0/train_label/165.tif
D:\dataset_chain\water\input0/train/166.tif,D:\dataset_chain\water\input0/train_label/166.tif
D:\dataset_chain\water\input0/train/167.tif,D:\dataset_chain\water\input0/train_label/167.tif
D:\dataset_chain\water\input0/train/168.tif,D:\dataset_chain\water\input0/train_label/168.tif
D:\dataset_chain\water\input0/train/169.tif,D:\dataset_chain\water\input0/train_label/169.tif
D:\dataset_chain\water\input0/train/170.tif,D:\dataset_chain\water\input0/train_label/170.tif
D:\dataset_chain\water\input0/train/171.tif,D:\dataset_chain\water\input0/train_label/171.tif
D:\dataset_chain\water\input0/train/172.tif,D:\dataset_chain\water\input0/train_label/172.tif
D:\dataset_chain\water\input0/train/173.tif,D:\dataset_chain\water\input0/train_label/173.tif
D:\dataset_chain\water\input0/train/174.tif,D:\dataset_chain\water\input0/train_label/174.tif
D:\dataset_chain\water\input0/train/175.tif,D:\dataset_chain\water\input0/train_label/175.tif
D:\dataset_chain\water\input0/train/176.tif,D:\dataset_chain\water\input0/train_label/176.tif
D:\dataset_chain\water\input0/train/177.tif,D:\dataset_chain\water\input0/train_label/177.tif
D:\dataset_chain\water\input0/train/178.tif,D:\dataset_chain\water\input0/train_label/178.tif
D:\dataset_chain\water\input0/train/179.tif,D:\dataset_chain\water\input0/train_label/179.tif
D:\dataset_chain\water\input0/train/180.tif,D:\dataset_chain\water\input0/train_label/180.tif
D:\dataset_chain\water\input0/train/181.tif,D:\dataset_chain\water\input0/train_label/181.tif
D:\dataset_chain\water\input0/train/182.tif,D:\dataset_chain\water\input0/train_label/182.tif
D:\dataset_chain\water\input0/train/183.tif,D:\dataset_chain\water\input0/train_label/183.tif
D:\dataset_chain\water\input0/train/184.tif,D:\dataset_chain\water\input0/train_label/184.tif
D:\dataset_chain\water\input0/train/185.tif,D:\dataset_chain\water\input0/train_label/185.tif
D:\dataset_chain\water\input0/train/186.tif,D:\dataset_chain\water\input0/train_label/186.tif
D:\dataset_chain\water\input0/train/187.tif,D:\dataset_chain\water\input0/train_label/187.tif
D:\dataset_chain\water\input0/train/188.tif,D:\dataset_chain\water\input0/train_label/188.tif
D:\dataset_chain\water\input0/train/189.tif,D:\dataset_chain\water\input0/train_label/189.tif
D:\dataset_chain\water\input0/train/190.tif,D:\dataset_chain\water\input0/train_label/190.tif
D:\dataset_chain\water\input0/train/191.tif,D:\dataset_chain\water\input0/train_label/191.tif
D:\dataset_chain\water\input0/train/192.tif,D:\dataset_chain\water\input0/train_label/192.tif
D:\dataset_chain\water\input0/train/193.tif,D:\dataset_chain\water\input0/train_label/193.tif
D:\dataset_chain\water\input0/train/194.tif,D:\dataset_chain\water\input0/train_label/194.tif
D:\dataset_chain\water\input0/train/195.tif,D:\dataset_chain\water\input0/train_label/195.tif
D:\dataset_chain\water\input0/train/196.tif,D:\dataset_chain\water\input0/train_label/196.tif
D:\dataset_chain\water\input0/train/197.tif,D:\dataset_chain\water\input0/train_label/197.tif
D:\dataset_chain\water\input0/train/198.tif,D:\dataset_chain\water\input0/train_label/198.tif
D:\dataset_chain\water\input0/train/199.tif,D:\dataset_chain\water\input0/train_label/199.tif
D:\dataset_chain\water\input0/train/200.tif,D:\dataset_chain\water\input0/train_label/200.tif
D:\dataset_chain\water\input0/train/201.tif,D:\dataset_chain\water\input0/train_label/201.tif
D:\dataset_chain\water\input0/train/202.tif,D:\dataset_chain\water\input0/train_label/202.tif
D:\dataset_chain\water\input0/train/203.tif,D:\dataset_chain\water\input0/train_label/203.tif
D:\dataset_chain\water\input0/train/204.tif,D:\dataset_chain\water\input0/train_label/204.tif
D:\dataset_chain\water\input0/train/205.tif,D:\dataset_chain\water\input0/train_label/205.tif
D:\dataset_chain\water\input0/train/206.tif,D:\dataset_chain\water\input0/train_label/206.tif
D:\dataset_chain\water\input0/train/207.tif,D:\dataset_chain\water\input0/train_label/207.tif
D:\dataset_chain\water\input0/train/208.tif,D:\dataset_chain\water\input0/train_label/208.tif
D:\dataset_chain\water\input0/train/209.tif,D:\dataset_chain\water\input0/train_label/209.tif
D:\dataset_chain\water\input0/train/210.tif,D:\dataset_chain\water\input0/train_label/210.tif
D:\dataset_chain\water\input0/train/211.tif,D:\dataset_chain\water\input0/train_label/211.tif
D:\dataset_chain\water\input0/train/212.tif,D:\dataset_chain\water\input0/train_label/212.tif
D:\dataset_chain\water\input0/train/213.tif,D:\dataset_chain\water\input0/train_label/213.tif
D:\dataset_chain\water\input0/train/214.tif,D:\dataset_chain\water\input0/train_label/214.tif
D:\dataset_chain\water\input0/train/215.tif,D:\dataset_chain\water\input0/train_label/215.tif
D:\dataset_chain\water\input0/train/216.tif,D:\dataset_chain\water\input0/train_label/216.tif
D:\dataset_chain\water\input0/train/217.tif,D:\dataset_chain\water\input0/train_label/217.tif
D:\dataset_chain\water\input0/train/218.tif,D:\dataset_chain\water\input0/train_label/218.tif
D:\dataset_chain\water\input0/train/219.tif,D:\dataset_chain\water\input0/train_label/219.tif
D:\dataset_chain\water\input0/train/220.tif,D:\dataset_chain\water\input0/train_label/220.tif
D:\dataset_chain\water\input0/train/221.tif,D:\dataset_chain\water\input0/train_label/221.tif
D:\dataset_chain\water\input0/train/222.tif,D:\dataset_chain\water\input0/train_label/222.tif
D:\dataset_chain\water\input0/train/223.tif,D:\dataset_chain\water\input0/train_label/223.tif
D:\dataset_chain\water\input0/train/224.tif,D:\dataset_chain\water\input0/train_label/224.tif
D:\dataset_chain\water\input0/train/225.tif,D:\dataset_chain\water\input0/train_label/225.tif
D:\dataset_chain\water\input0/train/226.tif,D:\dataset_chain\water\input0/train_label/226.tif
D:\dataset_chain\water\input0/train/227.tif,D:\dataset_chain\water\input0/train_label/227.tif
D:\dataset_chain\water\input0/train/228.tif,D:\dataset_chain\water\input0/train_label/228.tif
D:\dataset_chain\water\input0/train/229.tif,D:\dataset_chain\water\input0/train_label/229.tif
D:\dataset_chain\water\input0/train/230.tif,D:\dataset_chain\water\input0/train_label/230.tif
D:\dataset_chain\water\input0/train/231.tif,D:\dataset_chain\water\input0/train_label/231.tif
D:\dataset_chain\water\input0/train/232.tif,D:\dataset_chain\water\input0/train_label/232.tif
D:\dataset_chain\water\input0/train/233.tif,D:\dataset_chain\water\input0/train_label/233.tif
D:\dataset_chain\water\input0/train/234.tif,D:\dataset_chain\water\input0/train_label/234.tif
D:\dataset_chain\water\input0/train/235.tif,D:\dataset_chain\water\input0/train_label/235.tif
D:\dataset_chain\water\input0/train/236.tif,D:\dataset_chain\water\input0/train_label/236.tif
D:\dataset_chain\water\input0/train/237.tif,D:\dataset_chain\water\input0/train_label/237.tif
D:\dataset_chain\water\input0/train/238.tif,D:\dataset_chain\water\input0/train_label/238.tif
D:\dataset_chain\water\input0/train/239.tif,D:\dataset_chain\water\input0/train_label/239.tif
D:\dataset_chain\water\input0/train/240.tif,D:\dataset_chain\water\input0/train_label/240.tif
D:\dataset_chain\water\input0/train/241.tif,D:\dataset_chain\water\input0/train_label/241.tif
D:\dataset_chain\water\input0/train/242.tif,D:\dataset_chain\water\input0/train_label/242.tif
D:\dataset_chain\water\input0/train/243.tif,D:\dataset_chain\water\input0/train_label/243.tif
D:\dataset_chain\water\input0/train/244.tif,D:\dataset_chain\water\input0/train_label/244.tif
D:\dataset_chain\water\input0/train/245.tif,D:\dataset_chain\water\input0/train_label/245.tif
D:\dataset_chain\water\input0/train/246.tif,D:\dataset_chain\water\input0/train_label/246.tif
D:\dataset_chain\water\input0/train/247.tif,D:\dataset_chain\water\input0/train_label/247.tif
D:\dataset_chain\water\input0/train/248.tif,D:\dataset_chain\water\input0/train_label/248.tif
D:\dataset_chain\water\input0/train/249.tif,D:\dataset_chain\water\input0/train_label/249.tif
D:\dataset_chain\water\input0/train/250.tif,D:\dataset_chain\water\input0/train_label/250.tif
D:\dataset_chain\water\input0/train/251.tif,D:\dataset_chain\water\input0/train_label/251.tif
D:\dataset_chain\water\input0/train/252.tif,D:\dataset_chain\water\input0/train_label/252.tif
D:\dataset_chain\water\input0/train/253.tif,D:\dataset_chain\water\input0/train_label/253.tif
D:\dataset_chain\water\input0/train/254.tif,D:\dataset_chain\water\input0/train_label/254.tif
D:\dataset_chain\water\input0/train/255.tif,D:\dataset_chain\water\input0/train_label/255.tif
D:\dataset_chain\water\input0/train/256.tif,D:\dataset_chain\water\input0/train_label/256.tif
D:\dataset_chain\water\input0/train/257.tif,D:\dataset_chain\water\input0/train_label/257.tif
D:\dataset_chain\water\input0/train/258.tif,D:\dataset_chain\water\input0/train_label/258.tif
D:\dataset_chain\water\input0/train/259.tif,D:\dataset_chain\water\input0/train_label/259.tif
D:\dataset_chain\water\input0/train/260.tif,D:\dataset_chain\water\input0/train_label/260.tif
D:\dataset_chain\water\input0/train/261.tif,D:\dataset_chain\water\input0/train_label/261.tif
D:\dataset_chain\water\input0/train/262.tif,D:\dataset_chain\water\input0/train_label/262.tif
D:\dataset_chain\water\input0/train/263.tif,D:\dataset_chain\water\input0/train_label/263.tif
D:\dataset_chain\water\input0/train/264.tif,D:\dataset_chain\water\input0/train_label/264.tif
D:\dataset_chain\water\input0/train/265.tif,D:\dataset_chain\water\input0/train_label/265.tif
D:\dataset_chain\water\input0/train/266.tif,D:\dataset_chain\water\input0/train_label/266.tif
D:\dataset_chain\water\input0/train/267.tif,D:\dataset_chain\water\input0/train_label/267.tif
D:\dataset_chain\water\input0/train/268.tif,D:\dataset_chain\water\input0/train_label/268.tif
D:\dataset_chain\water\input0/train/269.tif,D:\dataset_chain\water\input0/train_label/269.tif
D:\dataset_chain\water\input0/train/270.tif,D:\dataset_chain\water\input0/train_label/270.tif
D:\dataset_chain\water\input0/train/271.tif,D:\dataset_chain\water\input0/train_label/271.tif
D:\dataset_chain\water\input0/train/272.tif,D:\dataset_chain\water\input0/train_label/272.tif
D:\dataset_chain\water\input0/train/273.tif,D:\dataset_chain\water\input0/train_label/273.tif
D:\dataset_chain\water\input0/train/274.tif,D:\dataset_chain\water\input0/train_label/274.tif
D:\dataset_chain\water\input0/train/275.tif,D:\dataset_chain\water\input0/train_label/275.tif
D:\dataset_chain\water\input0/train/276.tif,D:\dataset_chain\water\input0/train_label/276.tif
D:\dataset_chain\water\input0/train/277.tif,D:\dataset_chain\water\input0/train_label/277.tif
D:\dataset_chain\water\input0/train/278.tif,D:\dataset_chain\water\input0/train_label/278.tif
D:\dataset_chain\water\input0/train/279.tif,D:\dataset_chain\water\input0/train_label/279.tif
D:\dataset_chain\water\input0/train/280.tif,D:\dataset_chain\water\input0/train_label/280.tif
D:\dataset_chain\water\input0/train/281.tif,D:\dataset_chain\water\input0/train_label/281.tif
D:\dataset_chain\water\input0/train/282.tif,D:\dataset_chain\water\input0/train_label/282.tif
D:\dataset_chain\water\input0/train/283.tif,D:\dataset_chain\water\input0/train_label/283.tif
D:\dataset_chain\water\input0/train/284.tif,D:\dataset_chain\water\input0/train_label/284.tif
D:\dataset_chain\water\input0/train/285.tif,D:\dataset_chain\water\input0/train_label/285.tif
D:\dataset_chain\water\input0/train/286.tif,D:\dataset_chain\water\input0/train_label/286.tif
D:\dataset_chain\water\input0/train/287.tif,D:\dataset_chain\water\input0/train_label/287.tif
D:\dataset_chain\water\input0/train/288.tif,D:\dataset_chain\water\input0/train_label/288.tif
D:\dataset_chain\water\input0/train/289.tif,D:\dataset_chain\water\input0/train_label/289.tif
D:\dataset_chain\water\input0/train/290.tif,D:\dataset_chain\water\input0/train_label/290.tif
D:\dataset_chain\water\input0/train/291.tif,D:\dataset_chain\water\input0/train_label/291.tif
D:\dataset_chain\water\input0/train/292.tif,D:\dataset_chain\water\input0/train_label/292.tif
D:\dataset_chain\water\input0/train/293.tif,D:\dataset_chain\water\input0/train_label/293.tif
D:\dataset_chain\water\input0/train/294.tif,D:\dataset_chain\water\input0/train_label/294.tif
D:\dataset_chain\water\input0/train/295.tif,D:\dataset_chain\water\input0/train_label/295.tif
D:\dataset_chain\water\input0/train/296.tif,D:\dataset_chain\water\input0/train_label/296.tif
D:\dataset_chain\water\input0/train/297.tif,D:\dataset_chain\water\input0/train_label/297.tif
D:\dataset_chain\water\input0/train/298.tif,D:\dataset_chain\water\input0/train_label/298.tif
D:\dataset_chain\water\input0/train/299.tif,D:\dataset_chain\water\input0/train_label/299.tif
D:\dataset_chain\water\input0/train/300.tif,D:\dataset_chain\water\input0/train_label/300.tif
D:\dataset_chain\water\input0/train/301.tif,D:\dataset_chain\water\input0/train_label/301.tif
D:\dataset_chain\water\input0/train/302.tif,D:\dataset_chain\water\input0/train_label/302.tif
D:\dataset_chain\water\input0/train/303.tif,D:\dataset_chain\water\input0/train_label/303.tif
D:\dataset_chain\water\input0/train/304.tif,D:\dataset_chain\water\input0/train_label/304.tif
